id,lat,lng,unverified,description,season_start,season_stop,no_season,quality_rating,yield_rating,author,address,city,state,country,created_at,updated_at,access,import_link,muni,types
364321,37.7841490893337,-122.4222381,false,[1x] Olive (Olea europaea). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:12 UTC,2016-12-01 12:48:32 UTC,Public,http://fallingfruit.org/imports/98,true,{Olive}
367580,37.7733036666667,-122.424058420495,false,[1x] Cherry plum (Prunus cerasifera). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:40 UTC,2016-12-02 07:51:08 UTC,,http://fallingfruit.org/imports/98,true,"{""Cherry plum""}"
365378,37.7690680898218,-122.422401948314,false,[1x] Cherry plum (Prunus cerasifera). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:21 UTC,2016-12-02 01:59:44 UTC,,http://fallingfruit.org/imports/98,true,"{""Cherry plum""}"
361218,37.764955587204,-122.44750641366,false,[1x] Carob (Ceratonia siliqua). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:17:45 UTC,2016-12-07 03:55:34 UTC,Public,http://fallingfruit.org/imports/98,true,{Carob}
361590,37.7894108399851,-122.436772329523,false,[1x] Carob (Ceratonia siliqua). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:17:48 UTC,2016-12-03 15:59:42 UTC,Public,http://fallingfruit.org/imports/98,true,{Carob}
363085,37.7877719131306,-122.453586970207,false,[1x] Ginkgo (Ginkgo biloba). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:01 UTC,2016-12-03 08:25:13 UTC,Public,http://fallingfruit.org/imports/98,true,{ginkgo}
368207,37.767833885891,-122.446578126969,false,[1x] Brazilian peppertree (Schinus terebinthifolius),,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:46 UTC,2016-12-05 06:45:35 UTC,,http://fallingfruit.org/imports/98,true,"{""Brazilian pepper tree""}"
362722,37.7654463846619,-122.402741583413,false,[1x] Ginkgo (Ginkgo biloba). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:17:58 UTC,2016-12-06 16:09:09 UTC,,http://fallingfruit.org/imports/98,true,{ginkgo}
361190,37.7641732764706,-122.402527686181,false,[1x] European hackberry (Celtis australis). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:17:44 UTC,2016-12-04 02:35:48 UTC,,http://fallingfruit.org/imports/98,true,"{""Mediterranean hackberry""}"
363035,37.7827732835015,-122.388901455667,false,[1x] Ginkgo (Ginkgo biloba),,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:00 UTC,2016-12-07 22:55:40 UTC,,http://fallingfruit.org/imports/98,true,{ginkgo}
360122,37.779331,-122.393371,false,[2x] Olive (Olea europaea). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:17:35 UTC,2016-12-07 01:47:42 UTC,Public,http://fallingfruit.org/imports/98,true,{Olive}
365269,37.7853485355856,-122.4314114,false,[1x] Yew podocarpus (Podocarpus macrophyllus). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:20 UTC,2016-12-08 17:10:50 UTC,Public,http://fallingfruit.org/imports/98,true,"{""Yew plum-pine""}"
367652,37.7822189370823,-122.422378590909,false,[1x] Purple-leaf plum (Prunus cerasifera). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:41 UTC,2016-12-03 20:12:51 UTC,Public,http://fallingfruit.org/imports/98,true,"{""Cherry plum""}"
368173,37.789687,-122.417048758809,false,[1x] Brazilian peppertree (Schinus terebinthifolius). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:45 UTC,2016-12-02 20:48:27 UTC,,http://fallingfruit.org/imports/98,true,"{""Brazilian pepper tree""}"
368190,37.7697934910321,-122.422074943262,false,[1x] Brazilian peppertree (Schinus terebinthifolius). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:45 UTC,2016-12-09 01:46:02 UTC,Public,http://fallingfruit.org/imports/98,true,"{""Brazilian pepper tree""}"
367805,37.7646889629811,-122.448285669958,true,[1x] Pear (Pyrus sp),,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:42 UTC,2016-12-09 04:15:59 UTC,,http://fallingfruit.org/imports/98,true,{Pear}
367550,37.757629456807,-122.423569366907,false,[1x] Cherry plum (Prunus cerasifera). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:40 UTC,2016-12-02 23:26:42 UTC,Public,http://fallingfruit.org/imports/98,true,"{""Cherry plum""}"
364293,37.7601567015942,-122.402984342384,false,[1x] Olive (Olea europaea). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:11 UTC,2016-12-07 08:50:55 UTC,Public,http://fallingfruit.org/imports/98,true,{Olive}
359883,37.7889503366232,-122.425145199435,false,[2x] Olive (Olea europaea). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:17:33 UTC,2016-12-02 20:24:06 UTC,Public,http://fallingfruit.org/imports/98,true,{Olive}
363157,37.7794837956837,-122.39251010065,false,[1x] Ginkgo (Ginkgo biloba),,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:01 UTC,2016-12-02 08:06:11 UTC,,http://fallingfruit.org/imports/98,true,{ginkgo}
366749,37.7668711372962,-122.446399108581,false,[1x] Cherry plum (Prunus cerasifera). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:33 UTC,2016-12-07 10:14:27 UTC,Public,http://fallingfruit.org/imports/98,true,"{""Cherry plum""}"
1924236,37.771059902778724,-122.43177096296066,false,,,,,,,Gracchus,"488 Waller St, San Francisco, CA 94117, USA",San Francisco,California,United States,2024-01-18 23:05:44 UTC,2024-01-18 23:05:44 UTC,Private but overhanging,,false,{Citrus}
362367,37.7654567294895,-122.402741566652,false,[1x] Ginkgo (Ginkgo biloba). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:17:55 UTC,2016-12-01 17:35:59 UTC,,http://fallingfruit.org/imports/98,true,{ginkgo}
364740,37.7764750172094,-122.426034,false,[1x] Olive (Olea europaea). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:15 UTC,2016-12-03 18:27:59 UTC,Public,http://fallingfruit.org/imports/98,true,{Olive}
368469,37.7586191,-122.4190378,false,[1x] Mexican fan palm (Washingtonia robusta). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:48 UTC,2016-12-01 17:36:19 UTC,Public,http://fallingfruit.org/imports/98,true,"{""Mexican fan palm""}"
1831122,37.793973,-122.44661,false,Lots of wild black berries on the right side of the stairs when heading up the stairs! They’re on the side of the hill so they’re hard to reach but there’s a ton of them,,,false,,,,"2990 Vallejo St., San Francisco, CA 94123, USA",San Francisco,California,United States,2023-08-17 20:26:19 UTC,2023-08-17 20:26:19 UTC,,,false,{Blackberry}
364027,37.7887140352284,-122.428260348555,false,[1x] Olive (Olea europaea). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:09 UTC,2016-12-07 16:53:23 UTC,Public,http://fallingfruit.org/imports/98,true,{Olive}
361081,37.7709179707448,-122.447922436587,false,[1x] Strawberry tree (Arbutus unedo). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:17:43 UTC,2016-12-03 14:57:30 UTC,,http://fallingfruit.org/imports/98,true,"{""Strawberry tree""}"
366714,37.7584815114483,-122.420332746925,false,[1x] Cherry plum (Prunus cerasifera). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:33 UTC,2016-12-05 16:23:14 UTC,,http://fallingfruit.org/imports/98,true,"{""Cherry plum""}"
362788,37.7880038257074,-122.453825425764,false,[1x] Ginkgo (Ginkgo biloba). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:17:58 UTC,2016-12-06 00:40:06 UTC,Public,http://fallingfruit.org/imports/98,true,{ginkgo}
362446,37.7847515628577,-122.391252430542,false,[1x] Ginkgo (Ginkgo biloba). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:17:55 UTC,2016-12-01 05:39:02 UTC,Public,http://fallingfruit.org/imports/98,true,{ginkgo}
363124,37.778245,-122.403021,false,[1x] Ginkgo (Ginkgo biloba). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:01 UTC,2016-12-07 18:17:41 UTC,,http://fallingfruit.org/imports/98,true,{ginkgo}
365627,37.7738023328257,-122.414101322222,false,[1x] Cherry plum (Prunus cerasifera). Owned by Bureau of Urban Forestry.,,,,,,Urban Forest Map,,San Francisco,California,United States,2013-02-19 07:18:23 UTC,2016-12-08 08:42:57 UTC,Public,http://fallingfruit.org/imports/98,true,"{""Cherry plum""}"
